parcel_number,taxable_building,taxable_land,market_value,zip_code
631399700,194532,54868,249400,19111
532111900,100033,19767,119800,19111
532288300,216370,92730,309100,19111
631120010,158245,40255,198500,19111
532184800,92090,56610,188700,19111
531218500,57728,19172,116900,19111
531074000,68035,19065,127100,19111
561383900,129708,33292,203000,19111
353278400,57473,24827,122300,19111
532038400,139614,47786,187400,19111
532090300,72475,22225,134700,19111
353148300,82179,49421,171600,19111
353230400,83830,53070,176900,19111
632029900,167872,43728,251600,19111
353016200,44122,20378,104500,19111
632019700,207086,43614,250700,19111
562065012,322102,72698,434800,19111
871246600,153920,38480,192400,19111
632011800,162873,42727,245600,19111
532361000,76909,45691,162600,19111
532318800,72739,44061,156800,19111
561469000,149906,34594,184500,19111
532140900,79133,50967,170100,19111
631098900,113105,42395,195500,19111
532169400,104760,62040,206800,19111
532006800,108968,21532,130500,19111
561539500,193661,44839,238500,19111
632232252,180202,37898,218100,19111
632000108,142157,38343,220500,19111
561017800,126782,32718,199500,19111
353315700,71429,45071,156500,19111
532154300,104232,49368,193600,19111
531052900,48825,15675,104500,19111
531226700,58565,19335,117900,19111
532116500,108050,63450,211500,19111
561079300,136814,32186,209000,19111
353228700,123060,52740,175800,19111
561077200,173345,31555,204900,19111
561446900,219212,38988,258200,19111
532288000,87179,44221,171400,19111
352279500,32756,13244,86000,19111
353022200,77876,30024,147900,19111
881174260,498600,166200,664800,19111
531029300,75814,23386,139200,19111
531208800,99902,19598,119500,19111
561021400,182415,35785,218200,19111
531171600,94265,16635,110900,19111
572125300,135870,58230,194100,19114
571158612,293300,125700,419000,19114
661207400,98110,59190,197300,19114
652173200,198353,102047,340400,19114
661156500,105320,62280,207600,19114
652203257,157010,67290,224300,19114
572090200,102100,60900,203000,19114
888650411,72880,28220,141100,19114
572182200,95811,58189,194000,19114
661096400,148470,63630,212100,19114
888650029,72880,28220,141100,19114
572336300,171010,73290,244300,19114
661035000,110290,64410,214700,19114
661026400,111894,65006,216900,19114
888570530,128520,24480,153000,19114
572272500,171564,90536,302100,19114
652395805,157659,125684,441000,19114
661170000,97340,58860,196200,19114
888650511,74000,28500,142500,19114
572303807,137690,59010,196700,19114
888660087,36526,15674,92200,19114
888570484,79868,22832,142700,19114
661289528,106342,62658,209000,19114
572178000,132580,56820,189400,19114
652417905,117010,67290,224300,19114
652426420,124150,70350,234500,19114
661207600,100770,60330,201100,19114
652444300,122120,69480,231600,19114
661014529,144872,62028,206900,19114
652232500,103570,61530,205100,19114
572362300,108260,63540,211800,19114
652309000,108400,63600,212000,19114
661014000,125662,70938,236600,19114
572256000,150820,81780,272600,19114
661065100,83340,52860,176200,19114
